name,sku,description,category,price,stock,weight_kg
Ultra Wireless Noise Cancelling Headphones,TECH-WH-001,Premium active noise cancelling over-ear headphones with 30-hour battery life,Electronics,299.99,45,0.550
Pro Ergonomic Mechanical Keyboard,TECH-KB-002,RGB hot-swappable mechanical keyboard with silent tactile switches,Peripherals,149.50,30,1.150
Precision Wireless Gaming Mouse,TECH-MS-003,Ultra-lightweight 26K DPI optical sensor mouse with low-latency 2.4GHz wireless,Peripherals,79.99,60,0.068
4K UHD 27-inch IPS Professional Monitor,TECH-MN-004,Factory-calibrated 4K HDR400 IPS display with 99% sRGB color accuracy,Displays,429.00,18,5.400
USB-C Thunderbolt 4 Docking Station,TECH-DK-005,14-in-1 dual 4K HDMI docking station with 100W power delivery,Accessories,189.99,25,0.480
Portable Aluminum Laptop Stand,TECH-ST-006,Foldable ventilated desktop riser for laptops and tablets up to 16 inches,Accessories,34.99,120,0.320
Smart Active Fitness Tracker Watch,WEAR-WT-007,Water-resistant AMOLED fitness band with continuous heart-rate and SpO2 tracking,Wearables,89.95,40,0.038
Studio Condenser USB Streaming Microphone,AUD-MC-008,Cardioid pickup pattern desktop microphone with integrated pop filter and gain dial,Audio,119.00,22,0.820
Magnetic MagSafe Qi2 Fast Charger,PWR-CH-009,15W wireless magnetic charging puck with braided 2-meter cable,Accessories,39.99,80,0.095
Heavy Duty Steel Cable Management Spine,DSK-CB-010,Under-desk flexible cable routing channel for sit-stand standing desks,Furniture,29.99,50,1.350
